Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Mu Editor               ,mu-editor              ,mu-editor                 ,                                          ,simple editor for beginner Python programmers
nano                    ,nano                   ,                          ,                                          ,small friendly text editor inspired by Pico
Nautilus                ,nautilus               ,                          ,                                          ,file manager and graphical shell for GNOME
ncal                    ,ncal                   ,                          ,                                          ,display a calendar and the date of Easter
neofetch                ,neofetch               ,                          ,                                          ,Shows Linux System Information with Distribution Logo
net-tools               ,net-tools              ,                          ,                                          ,NET-3 networking toolkit
Netsleuth               ,                       ,                          ,io.github.vmkspv.netsleuth                ,Calculate IP subnets
Newsflash               ,                       ,                          ,io.gitlab.news_flash.NewsFlash            ,Manténgase al día con sus canales
Notesnook               ,                       ,                          ,com.notesnook.Notesnook                   ,A fully open source & end-to-end encrypted note taking alternative to Evernote
Obsidian                ,obsidian               ,obsidian                  ,md.obsidian.Obsidian                      ,Markdown-based knowledge base
OBS Studio              ,obs-studio             ,obs-studio                ,com.obsproject.Studio                     ,Live stream and record videos
Octave                  ,octave                 ,octave                    ,org.octave.Octave                         ,GNU Octave language for numerical computations
Octave (all)            ,octave-*               ,                          ,                                          ,Octave complements
Only Office             ,                       ,onlyoffice-desktopeditors ,org.onlyoffice.desktopeditors             ,Office productivity suite
openssl                 ,openssl                ,                          ,                                          ,Secure Sockets Layer toolkit - cryptographic utility
OrbVis                  ,                       ,                          ,io.github.wojciech_graj.OrbVis            ,A Realtime Satellite Orbit Visualizer
pbzip2                  ,pbzip2                 ,                          ,                                          ,parallel bzip2 implementation
picocom                 ,picocom                ,                          ,                                          ,minimal dumb-terminal emulation program
Pinball                 ,pinball                ,pinball                   ,                                          ,Emilia Pinball Emulator
Pinhole                 ,pinhole                ,                          ,org.gnome.Snapshot                        ,Simple camera application for the GNOME desktop
Plank                   ,plank                  ,                          ,                                          ,Elegant simple clean dock
Postman                 ,                       ,postman                   ,com.getpostman.Postman                    ,Platform for building and using APIs
powertop                ,powertop               ,                          ,                                          ,diagnose issues with power consumption and management
PPSSPP                  ,                       ,ppsspp-emu                ,org.ppsspp.PPSSPP                         ,A PlayStation Portable emulator
Progress                ,                       ,                          ,io.github.smolblackcat.Progress           ,Kanban-style task organiser
PuTTY                   ,putty                  ,                          ,uk.org.greenend.chiark.sgtatham.putty     ,Telnet/SSH client for X
PyMOL                   ,pymol                  ,pymol-oss                 ,org.pymol.PyMOL                           ,Molecular visualization and raytracing
Python3                 ,python3                ,                          ,                                          ,interactive high-level object-oriented language (default python3 version)
Pip3                    ,python3-pip            ,                          ,                                          ,Python package installer
Qt5 tools               ,qttools5-dev-tools     ,                          ,                                          ,Qt 5 development tools
QtCreator               ,                       ,                          ,io.qt.QtCreator                           ,Cross-platform integrated development environment (IDE)
Quadrapassel            ,quadrapassel           ,quadrapassel              ,org.gnome.Quadrapassel                    ,popular Russian game similar to Tetris
ranger                  ,ranger                 ,                          ,                                          ,Console File Manager with VI Key Bindings
rdesktop                ,rdesktop               ,                          ,                                          ,RDP client for Windows NT/2000 Terminal Server and Windows Servers
resolvconf              ,resolvconf             ,                          ,                                          ,name server information handler
